university_name,programme_name,degree_level,field,specialization,language,study_mode,duration,programme_url,application_url
Universität Heidelberg,MSc Molecular Biotechnology,Master,Biotechnology,Molecular Biology,English,Full-time,2 years,https://www.uni-heidelberg.de/en/study/study-programmes/molecular-biotechnology,https://www.uni-heidelberg.de/en/study/application
Humboldt-Universität zu Berlin,MSc Computer Science,Master,Computer Science,,English,Full-time,2 years,https://www.informatik.hu-berlin.de/en/studies/study-programs,https://www.hu-berlin.de/en/studies/application
Universität Bonn,MSc Astrophysics,Master,Astrophysics,,English,Full-time,2 years,https://www.astro.uni-bonn.de/en/studies/msc-astrophysics,https://www.uni-bonn.de/en/studies/application
University of Copenhagen,MSc Computer Science,Master,Computer Science,,English,Full-time,2 years,https://www.ku.dk/english/studies/msc-computer-science,https://www.ku.dk/english/studies/apply
Aarhus University,MSc Data Science,Master,Data Science,,English,Full-time,2 years,https://masters.au.dk/data-science,https://masters.au.dk/how-to-apply
University of Oslo,MSc Materials Science for Energy and Nanotechnology,Master,Materials Science,Energy Materials,English,Full-time,2 years,https://www.uio.no/english/studies/programmes/materials-science-master/,https://www.uio.no/english/studies/apply/
Norwegian University of Science and Technology,MSc Mechanical Engineering,Master,Mechanical Engineering,,English,Full-time,2 years,https://www.ntnu.edu/studies/mscmec,https://www.ntnu.edu/studies/how-to-apply
Lund University,MSc Engineering Mathematics,Master,Applied Mathematics,,English,Full-time,2 years,https://www.lunduniversity.lu.se/engineering-mathematics,https://www.lunduniversity.lu.se/admissions
Uppsala University,MSc Chemistry,Master,Chemistry,,English,Full-time,2 years,https://www.uu.se/en/study/programme/masters-programme-in-chemistry,https://www.uu.se/en/study/apply
University of Helsinki,MSc Computer Science,Master,Computer Science,Algorithms,English,Full-time,2 years,https://www.helsinki.fi/en/admissions-and-education/apply-bachelors-and-masters-programmes/masters-programme-computer-science,https://studyinfo.fi/
University of Amsterdam,MSc Artificial Intelligence,Master,Artificial Intelligence,,English,Full-time,2 years,https://www.uva.nl/en/programmes/masters/artificial-intelligence/artificial-intelligence.html,https://www.uva.nl/en/education/masters/application-and-admission
Delft University of Technology,MSc Materials Science and Engineering,Master,Materials Science,,English,Full-time,2 years,https://www.tudelft.nl/en/education/programmes/masters/msc-materials-science-engineering,https://www.tudelft.nl/en/education/admission-and-application
ETH Zurich,MSc Mechanical Engineering,Master,Mechanical Engineering,,English,Full-time,2 years,https://ethz.ch/en/studies/master/degree-programmes/engineering-sciences/mechanical-engineering.html,https://ethz.ch/en/studies/application.html
EPFL,MSc Computer Science,Master,Computer Science,,English,Full-time,2 years,https://www.epfl.ch/education/master/programs/computer-science/,https://www.epfl.ch/education/admission/admission-2/master-admission-criteria-application/
Trinity College Dublin,MSc Business Analytics,Master,Business Analytics,,English,Full-time,1 year,https://www.tcd.ie/business/programmes/,https://www.tcd.ie/courses/postgraduate/
University College Dublin,MSc Data and Computational Science,Master,Data Science,,English,Full-time,1 year,https://www.ucd.ie/physics/study/mscdatacomputationalscience/,https://www.ucd.ie/apply/
