name,country,state_region,city,website_url,official_email,description,source_url
Technical University of Munich,Germany,Bavaria,Munich,https://www.tum.de,mscmse@ed.tum.de,"Offers the M.Sc. Materials Science and Engineering, a 120-ECTS interdisciplinary programme taught in English.",https://www.ed.tum.de/en/ed/studies/degree-programs/materials-science-and-engineering-m-sc/
Karlsruhe Institute of Technology,Germany,Baden-Württemberg,Karlsruhe,https://www.kit.edu,,"Offers an M.Sc. Materials Science and Engineering with specialisations including structural, computational and functional materials.",https://www.sle.kit.edu/english/vorstudium/master-materials-science-engineering.php
RWTH Aachen University,Germany,North Rhine-Westphalia,Aachen,https://www.rwth-aachen.de,matse@profileareas.rwth-aachen.de,"Has a Materials Science & Engineering profile area and programmes including Materials Engineering and Materials Science.",https://www.rwth-aachen.de/
Clausthal University of Technology,Germany,Lower Saxony,Clausthal-Zellerfeld,https://www.tu-clausthal.de,ma.mawi@tu-clausthal.de,"Offers an M.Sc. Materials Science and Engineering with Materials Science and Materials Engineering focus areas, including metallurgy, foundry technology and polymers.",https://www.studiengaenge.tu-clausthal.de/en/study-at-the-tu-clausthal/masters-programs/materials-science-and-engineering-master
TU Bergakademie Freiberg,Germany,Saxony,Freiberg,https://tu-freiberg.de,studienberatung@tu-freiberg.de,"Offers materials-focused programmes including the English-taught M.Sc. Metallic Materials Technology and Materials Science and Technology.",https://tu-freiberg.de/en/study/master-metallic-materials-technology
Saarland University,Germany,Saarland,Saarbrücken,https://www.uni-saarland.de,studium-mwwt@uni-saarland.de,"Offers an M.Sc. Materials Science and Engineering with Materials Science and Materials Engineering specialisations.",https://www.uni-saarland.de/en/study/programmes/master/materials-science.html
University of Bayreuth,Germany,Bavaria,Bayreuth,https://www.uni-bayreuth.de,ralf.moos@uni-bayreuth.de,"Offers materials-focused master's programmes including Digitalisation & Sustainability in Materials Science & Engineering and Materials Science & Engineering.",https://www.uni-bayreuth.de/en/master/dsmse
University of Augsburg,Germany,Bavaria,Augsburg,https://www.uni-augsburg.de,,"Offers the English-taught M.Sc. Materials Science and Engineering covering structural and functional materials, processing, characterisation and recycling.",https://www.uni-augsburg.de/en/studium/studienangebot/uebersicht/materials-science-and-engineering-msc/
University of Siegen,Germany,North Rhine-Westphalia,Siegen,https://www.uni-siegen.de,,"Offers the M.Sc. Materials Science and Engineering (MatWerk).",https://www.uni-siegen.de/en/studentsstudyprogram/student-information-master-matwerk
TU Dresden,Germany,Saxony,Dresden,https://tu-dresden.de,,"Offers Materials Science and Engineering and other materials-focused master's programmes from winter semester 2027/28.",https://tu-dresden.de/
Friedrich Schiller University Jena,Germany,Thuringia,Jena,https://www.uni-jena.de,materials.science@uni-jena.de,"Offers a four-semester M.Sc. Materials Science with research areas including metallic materials, composites, biomaterials and computational materials science.",https://www.osim.uni-jena.de/en/726/master
KTH Royal Institute of Technology,Sweden,Stockholm County,Stockholm,https://www.kth.se,info@kth.se,"Offers a two-year English-taught M.Sc. Engineering Materials Science covering metallurgy, casting, forming, powder metallurgy, corrosion and materials sustainability.",https://www.kth.se/en/2.985/engineering-materials-science
Chalmers University of Technology,Sweden,Västra Götaland,Gothenburg,https://www.chalmers.se,materials@chalmers.se,"Offers the English-taught M.Sc. Materials Science and Engineering with specialisations in soft, nano and metallic materials.",https://www.chalmers.se/en/education/find-masters-programme/materials-science-and-engineering-msc/
Technical University of Denmark,Denmark,Capital Region,Lyngby,https://www.dtu.dk,,"Offers an M.Sc. Materials and Manufacturing Engineering with Materials Engineering and Manufacturing Engineering specialisations.",https://student.dtu.dk/
Norwegian University of Science and Technology,Norway,Trøndelag,Trondheim,https://www.ntnu.edu,,"Offers an M.Sc. Materials Science and Chemical Engineering with materials science specialisation areas including metallurgy and functional materials.",https://studyinnorway.no/
Aalto University,Finland,Uusimaa,Espoo,https://www.aalto.fi,,"Offers master's studies in Chemistry and Materials Science and an Advanced Materials for Innovation and Sustainability programme.",https://www.aalto.fi/en/programmes/masters-programme-in-chemistry-and-materials-science
University of Turku,Finland,Southwest Finland,Turku,https://www.utu.fi,admissions@utu.fi,"Offers materials-focused English-taught master's tracks in Materials Chemistry for Sustainable Development and Materials Physics.",https://www.utu.fi/en/study-at-utu/
ETH Zurich,Switzerland,Zurich,Zurich,https://ethz.ch,studieren@mat.ethz.ch,"Offers an English-taught M.Sc. Materials Science and Engineering with materials engineering, modelling, characterisation, energy and sustainability options.",https://ethz.ch/en/studies/master/degree-programmes/engineering-sciences/materials-science.html
EPFL,Switzerland,Vaud,Lausanne,https://www.epfl.ch,,"Offers an English-taught M.Sc. Materials Science and Engineering covering polymers, ceramics, metals, alloys and composites.",https://www.epfl.ch/education/master/programs/materials-science-and-engineering/
Ghent University,Belgium,East Flanders,Ghent,https://www.ugent.be,,"Offers M.Sc. Materials Engineering and Sustainable Materials Engineering, covering metals, polymers, textiles and composites.",https://studiekiezer.ugent.be/
KU Leuven,Belgium,Flemish Brabant,Leuven,https://www.kuleuven.be,,"Offers a two-year M.Sc. Materials Engineering with tracks including Metals and Ceramics, Polymers and Composites, Computational Materials Engineering, Nanomaterials and Biomaterials.",https://onderwijsaanbod.kuleuven.be/
University of Padua,Italy,Veneto,Padua,https://www.unipd.it,international.dii@unipd.it,"Offers an M.Sc. Materials Engineering with curricula in advanced materials, functional materials and advanced technologies.",https://academics.dii.unipd.it/materialsengineering/
Politecnico di Milano,Italy,Lombardy,Milan,https://www.polimi.it,giovanni.dotelli@polimi.it,"Offers an English-taught M.Sc. Materials Engineering and Nanotechnology with specialisations including surface, polymer, nano and sustainability engineering.",https://www.polimi.it/en/education/laurea-programmes/programme-detail/materials-engineering-and-nanotechnology
Politecnico di Torino,Italy,Piedmont,Turin,https://www.polito.it,,"Offers the M.Sc. Materials Engineering for Industry 4.0 with structural materials, functional materials and advanced manufacturing tracks.",https://www.polito.it/en/education/master-s-degree-programmes/materials-engineering-for-industry-40
Imperial College London,United Kingdom,Greater London,London,https://www.imperial.ac.uk,materials@imperial.ac.uk,"Offers the M.Sc. Advanced Materials Science and Engineering and undergraduate Materials Science and Engineering degrees.",https://www.imperial.ac.uk/materials/study/msc-materials/
University College London,United Kingdom,Greater London,London,https://www.ucl.ac.uk,,"Offers Advanced Materials Science MSc and related data-driven, energy-storage, sustainability and innovation materials master's courses.",https://www.ucl.ac.uk/study/prospective-students/graduate/courses/advanced-materials-science-msc
University of Oxford,United Kingdom,Oxfordshire,Oxford,https://www.ox.ac.uk,enquiries@materials.ox.ac.uk,"Offers Materials Science at undergraduate level and postgraduate materials research including the MSc by Research in Materials.",https://www.ox.ac.uk/admissions/graduate/courses/msc-research-materials
University of Cambridge,United Kingdom,Cambridgeshire,Cambridge,https://www.cam.ac.uk,,"Has a Materials Science and Metallurgy academic field with postgraduate research routes.",https://www.dcpc.physsci.cam.ac.uk/
University of Birmingham,United Kingdom,West Midlands,Birmingham,https://www.birmingham.ac.uk,,"Offers an M.Sc. Materials Science and Engineering with advanced metallurgy, manufacturing and non-metallic materials.",https://www.birmingham.ac.uk/study/postgraduate/subjects/materials-science-and-engineering-courses/materials-science-engineering-msc
University of Sheffield,United Kingdom,South Yorkshire,Sheffield,https://www.sheffield.ac.uk,,"Offers the M.Sc. Materials Science and Engineering covering metals, ceramics, polymers and composites.",https://sheffield.ac.uk/postgraduate/taught/courses/2026/materials-science-and-engineering-msc
