university_name,programme_name,degree_level,field,specialization,language,study_mode,duration,programme_url,application_url,minimum_cgpa,minimum_cgpa_scale,minimum_degree,required_field,ielts_required,ielts_minimum_score,toefl_required,toefl_minimum_score,gre_required,work_experience_required,other_requirements,source_url
Technical University of Munich,Materials Science and Engineering,Master,Materials Science and Engineering,"Interdisciplinary materials modelling, prediction and testing",English,Full-time,4 semesters,https://www.ed.tum.de/en/ed/studies/degree-programs/materials-science-and-engineering-m-sc/,,,,Bachelor's degree,"Engineering Science, Civil Engineering, Mechanical Engineering, Electrical and Computer Engineering, Physics, Materials Science or comparable",false,,false,,false,,"Bachelor's degree of at least six semesters; aptitude assessment; international applicants may need uni-assist VPD",https://www.ed.tum.de/en/ed/studies/degree-programs/materials-science-and-engineering-m-sc/
Karlsruhe Institute of Technology,Materials Science and Engineering,Master,Materials Science and Engineering,"Structural, functional and computational materials",English,,,,,,,,,,,,,,,,https://www.sle.kit.edu/english/vorstudium/master-materials-science-engineering.php
RWTH Aachen University,Materials Engineering,Master,Materials Engineering,Materials and metallurgical engineering,English,,,,,,,,,,,,,,,,https://www.rwth-aachen.de/
Clausthal University of Technology,Materials Science and Engineering,Master,Materials Science and Engineering,"Materials science, materials engineering, metallurgy, foundry technology and polymers",English,Full-time,4 semesters,https://www.studiengaenge.tu-clausthal.de/en/study-at-the-tu-clausthal/masters-programs/materials-science-and-engineering-master,,,,Bachelor's degree,"Materials science, materials engineering, metallurgy or related engineering discipline",false,,false,,false,,University-specific admission requirements apply,https://www.studiengaenge.tu-clausthal.de/en/study-at-the-tu-clausthal/masters-programs/materials-science-and-engineering-master
TU Bergakademie Freiberg,Metallic Materials Technology,Master,Materials Engineering,"Metallic materials, materials science, metallurgy and advanced manufacturing",English,Full-time,4 semesters,https://tu-freiberg.de/en/study/master-metallic-materials-technology,,,,Bachelor's degree,"Materials science, materials technology, metallurgy, materials engineering or related discipline",true,6.5,true,90,false,,12-week industrial internship; qualification assessment procedure,https://tu-freiberg.de/en/study/master-metallic-materials-technology
Saarland University,Materials Science and Engineering,Master,Materials Science and Engineering,Materials Science or Materials Engineering,English,Full-time,4 semesters,https://www.uni-saarland.de/en/study/programmes/master/materials-science.html,,,,Bachelor's degree,Materials science and/or materials engineering,false,,false,,false,,Bachelor's degree/equivalent in materials science and/or materials engineering; overall grade 2.5 or better or aptitude test,https://www.uni-saarland.de/en/study/programmes/master/materials-science.html
University of Augsburg,Materials Science and Engineering,Master,Materials Science and Engineering,"Structural and functional materials, biomaterials, thermoelectrics, semiconductors, high-temperature and hybrid materials",English,Full-time,4 semesters,https://www.uni-augsburg.de/en/studium/studienangebot/uebersicht/materials-science-and-engineering-msc/,,,,Bachelor's degree,Relevant scientific or engineering bachelor's degree,false,,false,,false,,"Research-based programme; materials synthesis, characterisation, processing and recycling",https://www.uni-augsburg.de/en/studium/studienangebot/uebersicht/materials-science-and-engineering-msc/
University of Siegen,Materials Science and Engineering,Master,Materials Science and Engineering,"Materials properties, production, processing, structure-property relationships",English,,,https://www.uni-siegen.de/en/study/master/materials-science-engineering,,,,Bachelor's degree,Engineering or natural sciences,false,,false,,false,,Relevant bachelor's degree in engineering or natural sciences,https://www.uni-siegen.de/en/study/master/materials-science-engineering
Friedrich Schiller University Jena,Materials Science,Master,Materials Science,"Metallic materials, composites, biomaterials and computational materials science",English,,4 semesters,https://www.osim.uni-jena.de/en/726/master,,,,Bachelor's degree,Relevant bachelor's degree in materials science or related field,false,,false,,false,,Research-oriented materials science programme,https://www.osim.uni-jena.de/en/726/master
KTH Royal Institute of Technology,Engineering Materials Science,Master,Materials Science and Engineering,"Materials processing, structures, properties and applications; automotive, manufacturing and energy",English,Full-time,2 years,https://www.kth.se/en/2.985/engineering-materials-science,,,,Bachelor's degree,Relevant bachelor's degree in engineering or science,false,,false,,false,,Application round for studies starting August 2027 opens October 2026,https://www.kth.se/en/2.985/engineering-materials-science
Chalmers University of Technology,Materials Science and Engineering,Master,Materials Science and Engineering,Soft Materials; Nanomaterials and Nanotechnology; Metallic Materials,English,Full-time,2 years,https://www.chalmers.se/en/education/find-masters-programme/materials-science-and-engineering-msc/,,,,Bachelor's degree,Relevant bachelor's degree,false,,false,,false,,120 credits; three listed specialisations,https://www.chalmers.se/en/education/find-masters-programme/materials-science-and-engineering-msc/
Technical University of Denmark,Materials and Manufacturing Engineering,Master,Materials and Manufacturing Engineering,Materials Engineering; Manufacturing Engineering,English,Full-time,2 years,https://www.dtu.dk/english/education/graduate/msc-programmes/materials-and-manufacturing-engineering,,,,Bachelor's degree,Relevant engineering bachelor's degree,false,,false,,false,,120 ECTS; programme specification revised for September 2026 intake,https://www.dtu.dk/english/education/graduate/msc-programmes/materials-and-manufacturing-engineering
Norwegian University of Science and Technology,Materials Science and Chemical Engineering,Master,Materials Science and Engineering,"Metallurgy, energy technology and functional materials",English,Full-time,2 years,https://www.ntnu.edu/studies/msmatch,,,,Bachelor's degree,"Materials Science and Engineering, Chemical Engineering, or engineering degree with specified materials/chemical engineering coursework",false,,false,,false,,C or better average; 25 ECTS mathematics; 5 ECTS statistics; 7.5 ECTS physics; specified chemistry/thermodynamics coursework,https://www.ntnu.edu/studies/msmatch/admission
Aalto University,Chemistry and Materials Science,Master,Materials Science,"Materials chemistry, materials characterisation, modelling, energy storage, nanomaterials and polymers",English,Full-time,2 years,https://www.aalto.fi/en/study-options/chemistry-and-materials-science-master-of-science-technology,,3.0,5.0,Bachelor's degree,"Chemistry, materials science, materials physics, nanotechnology or relevant engineering/natural-science field",false,,false,,false,,120 ECTS; relevant laboratory background required; GPA minimum 3.0/5.0 for 2027 evaluation,https://www.aalto.fi/en/study-options/chemistry-and-materials-science-master-of-science-technology
